Post Type,Month,Year,Wholesaler,Bev. Type,Product Code,Combo/Reg,Brand Reg,TTB ID,Brand Name,Product,Agent/Owner,Source of Info,Distributor-Wholesaler Serial #,Size,Unit,# of Bottles,Bottles per Sleeve,Age/Vintage,Alc %,Proof,Price per Bottle,Price per Case,NYC bottle,NYC case,Full Case Purchase,Split Case Charge,FOB,NYS Supplier's Serial #,NYS Suppliers Product Code,Column 31,Column 32,Limited Avail.,Allocation,Allocation Description,NYS Product,Column 37,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,,,,,
WW,5,2018,2188817,TW,ARW-CerPinot-1,R,P,14063001000049,Ceradello,Organic Pinot Grigio,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,12,,2013,B,B,4.13,49.53,,,N,,,,ARW-CerPinot-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,ARW-ChillCab-14,R,P,14267001000179,Chillin,Cabernet Sauvignon,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",3,L,4,,2014,B,B,2.47,9.86,,,N,,,,ARW-ChillCab-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,ARW-ChillCab-187,R,P,14267001000179,Chillin,Cabernet Sauvignon,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",187,ml,24,,2014,B,B,0.69,16.57,,,N,,,,ARW-ChillCab-187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,ARW-ChillCab-3000,R,P,14267001000179,Chillin,Cabernet Sauvignon,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",3,L,4,,2014,B,B,2.47,9.86,,,N,,,,ARW-ChillCab-3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,ARW-ChillChar-187,R,P,14283001000416,Chillin,Chardonnay,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",187,ml,24,,2014,B,B,0.69,16.57,,,N,,,,ARW-ChillChar-187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,ARW-ChillChar3L-15,R,P,14283001000416,Chillin,Chardonnay,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",3,L,4,,2015,B,B,2.47,9.86,,,N,,,,ARW-ChillChar3L-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,ARW-DBBARCH-14,R,P,13154001000527,Delibori,Bardolino Chiaretto,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,mL,12,,2014,B,B,2.12,25.41,,,N,,,,ARW-DBBARCH-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,ARW-DBBarch3L-14,R,P,13154001000527,Delibori,Bardolino Chiaretto,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",3,L,1,,2014,B,B,8.47,8.47,,,N,,,,ARW-DBBarch3L-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,ARW-DBPINOT-15,R,P,12188001000538,Delibori,Pinot Grigio,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,12,,2015,B,B,4.58,55.00,,,N,,,,ARW-DBPINOT-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,ARW-FAMLANG-13,R,P,13148001000044,Famiglia Marrone,Langhe Favorite,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,6,,2013,B,B,4.30,25.80,,,N,,,,ARW-FAMLANG-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
