ItemName,Warehouse,CaseUPC,PackUPC,RetailUPC,UnitUPC,ItemKey,
13 GUENOC LAKE COUNTY SAUV BLANC,All warehouses,,, 08163338722 5, 08163338722 5,165,                                  
13 J LOHR 7 OAKS CABERNET 750ML,All warehouses,,, 08912128812 2, 08912128812 2,380,                                   
13 J LOHR 7OAKS CAB TRAY 750ML,All warehouses,,,0000000000000,0000000000000,411,                                      
13 J LOHR 7OAKS CABERNET 375ML,All warehouses,,, 08912128811 5, 08912128811 5,390,                                    
13 J LOHR AROYO VISTA CHARD 6PK,All warehouses,,,,,426,                                                               
13 J LOHR CAROL'S VINEY CABERNET 6PK,All warehouses,,, 08912132852 1, 08912132852 1,344,                              
13 J LOHR CAROL'S VINEY SAUV BLANC 6PK,All warehouses,,,,,299,                                                        
13 J LOHR LOS OSOS MERLOT 750ML,All warehouses,,, 08912118852 1,08912118852 1,355,                                    
13 J LOHR OCT NIGHT CHARD 6PK 750ML,All warehouses,,,,,143,                                                           
13 JAMES MITCHELL CABERNET SAUV,All warehouses,,,021893796573,021893796573,1350,                                      
13 LEYDA GARUMA SAUVIGNON BLANC,All warehouses,,,,0000000000000,5107,                                                 
13 LUNA DI LUNA CAB MERLOT 750ML,All warehouses,,, 02189378908 7, 02189378908 7,2768,                                 
13 LUNA DI LUNA PINOT CHARDONNAY,All warehouses,,, 02189378610 9, 02189378610 9,2795,                                 
13 MEZZACORONA CHARDONNAY 750ML,All warehouses,,, 08724188103 2, 08724188103 2,2830,                                  
13 MEZZACORONA CHARDONNAY MAG,All warehouses,,, 08724188110 0, 08724188110 0,2840,                                    
13 MEZZACORONA PINOT GRIGIO 750ML,All warehouses,,, 08724188106 3,08724188106 3,2850,                                 
13 MEZZACORONA PINOT NOIR,All warehouses,,, 08724188126 1,08724188126 1,2855,                                         
13 OLIVE GARDEN CABERNET COPPOLA,All warehouses,,,,0000000000000,225,                                                 
13 PICCINI CHIANTI 750ML,All warehouses,,, 02189375168 8,02189375168 8,3160,                                          
13 PIERRE SPARR CARTE GEWURTZ 750ML,All warehouses,,, 09787100163 2, 09787100163 2,2623,                              
13 PIERRE SPARR CARTE RIESLING 750ML,All warehouses,,,7 22455 00006 9,7 22455 00006 9,2621,                           
13 PONZI WILLAMET PIN NOIR 750ML,All warehouses,,,,011832049413,3468,                                                 
13 QUERCETO CHIANTI 1.5ML,All warehouses,,, 08724166010 1, 08724166010 1,3129,                                        
13 QUERCETO CHIANTI CLASSICO 750ML,All warehouses,,, 08724166011 8, 08724166011 8,3130,                               
13 QUINTA DO VALE MEAO DUORO 6PK,All warehouses,,, 09479909014 4, 09479909014 4,4188,                                 
13 ROTH CABERNET SAUVIGNON 750ML,All warehouses,,, 08678549109 7, 08678549109 7,2136,                                 
13 ROTH HERITAGE RED,All warehouses,,, 08678549038 0, 08678549038 0,2129,                                             
13 ROTH MERLOT,All warehouses,,,,0000000000000,2140,                                                                  
13 ROTH SAUVIGNON BLANC,All warehouses,,,,0000000000000,2139,                                                         
13 SANTE PINOT NOIR REST PK 750ML,All warehouses,,, 08068673040 8, 08068673040 8,2515,                                
13 SCHRAMSBERG BRUT ROSE 750ML,All warehouses,,, 01985513200 2, 01985513200 2,4446,                                   
13 SOFIA RED BLEND,All warehouses,,,,0000000000000,615,                                                               
13 STAGS LEAP ARTEMIS CAB VS 750ML,All warehouses,,, 08859350001 5, 08859350001 5,1147,                               
13 STAGS LEAP KARIA CHARD VS 750ML,All warehouses,,,0000000000000,0000000000000,1185,                                 
13 STAGS LEAP KARIA CHARDONNAY 750ML,All warehouses,,, 088593450303, 088593450303,1150,                               
13 STEFANO FARINA BARBERA D'ALBA 750ML,All warehouses,,, 8008366000643, 8008366000643,2635,                           
13 STEMMARI CABERNET 750ML,All warehouses,,,8 54559 00024 6,8 54559 00024 6,3281,                                     
13 TOLLOY PINOT GRIGIO 750ML,All warehouses,,, 08724188201 5, 08724188201 5,3001,                                     
13 VOTRE SANTE CHARDONNAY,All warehouses,,, 08068673140 5, 08068673140 5,2513,                                        
14 ARIEL CABERNET SAUVIGNON 750ML,All warehouses,,, 08912185002 2, 08912185002 2,450,                                 
14 ARIEL CHARDONNAY 750ML,All warehouses,,, 08912183002 4, 08912183002 4,510,                                         
14 ARS VITIS RIESLING,All warehouses,,,7 8425560009 2,7 8425560009 2,2673,                                            
14 BR COHN SILVER LABEL CABERNET,All warehouses,,,7 40216 12609 4,7 40216 12609 4,3402,                               
14 CA MONTINI PINOT GRIGIO 750ML,All warehouses,,, 02189378630 7, 02189378630 7,2771,                                 
14 CATENA CHARDONNAY 750ML,All warehouses,,, 08904644402 0, 08904644402 0,3660,                                       
14 CHILIS R & B PINOT GRIGIO,All warehouses,,,08981979686 1,08981979686 1,727,                                        
14 COPPOLA DIAMOND CABERNET 750ML,All warehouses,,, 60867411041 6,7 39958 06480 1,662,                                
14 COPPOLA DIAMOND CHARDONNAY 750ML,All warehouses,,, 7 3995898420 8, 7 3995898420 8,190,                             
14 COPPOLA DIAMOND PINOT NOIR 750ML,All warehouses,,, 73995801450 9, 73995801450 9,209,                               
14 COPPOLA DIAMOND RED BLEND,All warehouses,,,7 3995810540 9,7 3995810540 9,197,                                      
14 COPPOLA DIAMOND SAUV BLANC 750ML,All warehouses,,, 073995803460 6, 073995803460 6,196,                             
14 COPPOLA R & B PINOT GRIGIO,All warehouses,,, 73995802405 8, 73995802405 8,656,                                     
14 CROSSINGS PINOT NOIR 750ML,All warehouses,,, 83186900201 6, 83186900201 6,2032,                                    
14 CROSSINGS SAUV BLANC 750ML,All warehouses,,,8 31869 00001 2,8 31869 00001 2,2030,                                  
14 CYPRESS CHARDONNAY 750ML,All warehouses,,,089121058527,089121058527,350,                                           
14 DONATI SORELLE SISTER CHARDONNAY,All warehouses,,,,1 8783300060 2,2151,                                            
14 ELK COVE CLAY COURT PINOT NOIR 6PK,All warehouses,,,0000000000000,0000000000000,3478,                              
14 ELK COVE GOODRICH 6PK,All warehouses,,,0000000000000,0000000000000,3476,                                           
14 ELK COVE MT. RICH PINOT NOIR 6PK 750ML,All warehouses,0000000000000,,,,3482,                                       
14 ELK COVE PINOT BLANC 750ML,All warehouses,,,0 83648 84258 4,0 83648 84258 4,3469,                                  
14 ELK COVE PINOT GRIS 750ML,All warehouses,,,083648871317,083648871317,3471,                                         
14 ELK COVE ROSE PINOT NOIR,All warehouses,,,0 83648 01212 3,0 83648 01212 3,3484,                                    
14 FERRARI CARANO ANDERSON P NOIR,All warehouses,,,,0000000000000,1252,                                               
14 FERRARI CARANO FUME BLANC 750ML,All warehouses,,, 74265112119 1,74265112119 1,1250,                                
14 FERRARI CARANO PINOT GRIGIO,All warehouses,,,0000000000000,0000000000000,1256,                                     
14 GEYSER PEAK PINOT GRIGIO 750ML,All warehouses,,,08341700420 5,08341700420 5,266,                                   
